Opportunity ID,SAP Code,Account Region,Closed Lost Reason,Closed Lost Reason Comments,IDN Status
006A9000003mkAR,,United States,Unresponsive Contacts,,Not a Member
006A9000003mkOK,,Canada,No Decision,,Not a Member
006A9000003mkqj,1004850,United States,Other (Add detail to Other Closed Lost Reason),,Active
006A9000003mm5F,1000452,New Zealand,,,Active
006A9000003mpM7,,United States,Competition,,Not a Member
006A9000003mpQc,,United States,Competition,,Not a Member
006A9000003muxa,1005839,Canada,,,Not a Member
006A9000003mx9R,1004715,United States,,,Pending
006A9000003n0zC,1000761,Asia Pacific,No Decision,,Not a Member
006A9000003n2o5,1003113,Australia,,,Active
006A9000003nXht,1005864,Australia,No Decision,,Not a Member
006A9000003nYJt,1003209,EMEA,,,Active
006A9000003nbOx,1004701,United States,,,Active
006A9000003nphl,1000477,New Zealand,Other (Add detail to Other Closed Lost Reason),,Active
006A9000003nwGt,,New Zealand,Other (Add detail to Other Closed Lost Reason),,Not a Member
006A9000003nwXx,1002778,Australia,Other (Add detail to Other Closed Lost Reason),,Active
006A9000003nx0e,1005864,Australia,No Decision,,Not a Member
006A9000003nyTg,1006251,Asia Pacific,,,Not a Member
006A9000003nyX8,1007410,Asia Pacific,,,Not a Member
006A9000003nyln,1007410,Asia Pacific,,,Not a Member
006A9000003nynU,1006666,Australia,Competition,,Not a Member
006A9000003o3ly,1005293,United States,,,Active
006A9000003o8st,1003049,Australia,,,Active
006A9000003oO13,1002769,EMEA,Competition,,Not a Member
006A9000003oUss,1003369,EMEA,,,Active
006A9000003oUvD,1004959,United States,,,Not a Member
006A9000003oViH,1004959,United States,,,Not a Member
006A9000003oYfV,1004948,United States,Lack of Budget,,Pending
006A9000003oiwO,1005920,Canada,,,Not a Member
